Model Comparison Analysis
==================================================


Training with learning rate: 0.001
------------------------------

Epoch-by-epoch comparison:
 Epoch |  LR Accuracy | MLP Accuracy |     MLP Loss
--------------------------------------------------
     1 |       0.6826 |       0.4307 |       0.7686
     2 |       0.6855 |       0.4307 |       0.7684
     3 |       0.6870 |       0.4307 |       0.7683
     4 |       0.6900 |       0.4307 |       0.7681
     5 |       0.6915 |       0.4322 |       0.7679
     6 |       0.6930 |       0.4322 |       0.7678
     7 |       0.6945 |       0.4322 |       0.7676
     8 |       0.6945 |       0.4292 |       0.7674
     9 |       0.6945 |       0.4292 |       0.7672
    10 |       0.6945 |       0.4292 |       0.7671
    11 |       0.6945 |       0.4292 |       0.7669
    12 |       0.6945 |       0.4292 |       0.7667
    13 |       0.6945 |       0.4292 |       0.7666
    14 |       0.6945 |       0.4292 |       0.7664
    15 |       0.6945 |       0.4292 |       0.7662
    16 |       0.6945 |       0.4292 |       0.7661
    17 |       0.6945 |       0.4292 |       0.7659
    18 |       0.6945 |       0.4292 |       0.7657
    19 |       0.6945 |       0.4277 |       0.7655
    20 |       0.6945 |       0.4292 |       0.7654
    21 |       0.6960 |       0.4292 |       0.7652
    22 |       0.6960 |       0.4292 |       0.7650
    23 |       0.6960 |       0.4292 |       0.7649
    24 |       0.6960 |       0.4292 |       0.7647
    25 |       0.6975 |       0.4277 |       0.7646
    26 |       0.6975 |       0.4277 |       0.7644
    27 |       0.7019 |       0.4277 |       0.7642
    28 |       0.7019 |       0.4262 |       0.7641
    29 |       0.7019 |       0.4262 |       0.7639
    30 |       0.7049 |       0.4262 |       0.7637
    31 |       0.7064 |       0.4262 |       0.7636
    32 |       0.7079 |       0.4262 |       0.7634
    33 |       0.7079 |       0.4262 |       0.7632
    34 |       0.7079 |       0.4262 |       0.7631
    35 |       0.7079 |       0.4262 |       0.7629
    36 |       0.7109 |       0.4262 |       0.7628
    37 |       0.7139 |       0.4262 |       0.7626
    38 |       0.7139 |       0.4262 |       0.7624
    39 |       0.7154 |       0.4262 |       0.7623
    40 |       0.7154 |       0.4262 |       0.7621
    41 |       0.7154 |       0.4277 |       0.7620
    42 |       0.7154 |       0.4247 |       0.7618
    43 |       0.7154 |       0.4247 |       0.7616
    44 |       0.7183 |       0.4247 |       0.7615
    45 |       0.7228 |       0.4247 |       0.7613
    46 |       0.7243 |       0.4247 |       0.7612
    47 |       0.7258 |       0.4247 |       0.7610
    48 |       0.7273 |       0.4247 |       0.7609
    49 |       0.7273 |       0.4247 |       0.7607
    50 |       0.7288 |       0.4247 |       0.7605
    51 |       0.7288 |       0.4218 |       0.7604
    52 |       0.7288 |       0.4218 |       0.7602
    53 |       0.7288 |       0.4218 |       0.7601
    54 |       0.7303 |       0.4218 |       0.7599
    55 |       0.7303 |       0.4203 |       0.7598
    56 |       0.7303 |       0.4203 |       0.7596
    57 |       0.7303 |       0.4203 |       0.7595
    58 |       0.7303 |       0.4203 |       0.7593
    59 |       0.7317 |       0.4203 |       0.7591
    60 |       0.7317 |       0.4203 |       0.7590
    61 |       0.7332 |       0.4203 |       0.7588
    62 |       0.7332 |       0.4203 |       0.7587
    63 |       0.7362 |       0.4203 |       0.7585
    64 |       0.7377 |       0.4188 |       0.7584
    65 |       0.7392 |       0.4188 |       0.7582
    66 |       0.7392 |       0.4188 |       0.7581
    67 |       0.7392 |       0.4188 |       0.7579
    68 |       0.7407 |       0.4188 |       0.7578
    69 |       0.7422 |       0.4188 |       0.7576
    70 |       0.7437 |       0.4173 |       0.7575
    71 |       0.7466 |       0.4173 |       0.7573
    72 |       0.7466 |       0.4173 |       0.7572
    73 |       0.7466 |       0.4173 |       0.7570
    74 |       0.7481 |       0.4158 |       0.7569
    75 |       0.7481 |       0.4158 |       0.7567
    76 |       0.7511 |       0.4158 |       0.7566
    77 |       0.7511 |       0.4158 |       0.7564
    78 |       0.7526 |       0.4158 |       0.7563
    79 |       0.7526 |       0.4158 |       0.7561
    80 |       0.7526 |       0.4158 |       0.7560
    81 |       0.7541 |       0.4158 |       0.7559
    82 |       0.7541 |       0.4158 |       0.7557
    83 |       0.7541 |       0.4158 |       0.7556
    84 |       0.7541 |       0.4158 |       0.7554
    85 |       0.7571 |       0.4158 |       0.7553
    86 |       0.7571 |       0.4143 |       0.7551
    87 |       0.7571 |       0.4143 |       0.7550
    88 |       0.7571 |       0.4128 |       0.7548
    89 |       0.7571 |       0.4128 |       0.7547
    90 |       0.7586 |       0.4128 |       0.7546
    91 |       0.7586 |       0.4128 |       0.7544
    92 |       0.7601 |       0.4143 |       0.7543
    93 |       0.7601 |       0.4143 |       0.7541
    94 |       0.7601 |       0.4158 |       0.7540
    95 |       0.7615 |       0.4158 |       0.7538
    96 |       0.7630 |       0.4158 |       0.7537
    97 |       0.7630 |       0.4158 |       0.7536
    98 |       0.7630 |       0.4158 |       0.7534
    99 |       0.7630 |       0.4158 |       0.7533
   100 |       0.7630 |       0.4128 |       0.7531

Training with learning rate: 0.01
------------------------------

Epoch-by-epoch comparison:
 Epoch |  LR Accuracy | MLP Accuracy |     MLP Loss
--------------------------------------------------
     1 |       0.6826 |       0.7019 |       0.7260
     2 |       0.6945 |       0.7034 |       0.7254
     3 |       0.6960 |       0.7154 |       0.7249
     4 |       0.7079 |       0.7198 |       0.7244
     5 |       0.7154 |       0.7258 |       0.7238
     6 |       0.7288 |       0.7317 |       0.7234
     7 |       0.7377 |       0.7392 |       0.7229
     8 |       0.7466 |       0.7437 |       0.7225
     9 |       0.7541 |       0.7511 |       0.7220
