SGD Performance Analysis
==================================================


Training with batch size: 1
------------------------------

Epoch-by-epoch accuracy:
 Epoch |     Accuracy
-------------------------
     1 |       0.9478
     2 |       0.9881
     3 |       0.9642
     4 |       0.9732
     5 |       0.9136
     6 |       0.9911
     7 |       0.9940
     8 |       0.9672
     9 |       0.9776
    10 |       0.9970
    11 |       0.9896
    12 |       0.9970
    13 |       0.9806
    14 |       0.9970
    15 |       0.9866
    16 |       0.9970
    17 |       0.9955
    18 |       0.9776
    19 |       0.9955
    20 |       0.9940
    21 |       0.9940
    22 |       0.9970
    23 |       0.9970
    24 |       0.9940
    25 |       0.9955
    26 |       0.9955
    27 |       0.9985
    28 |       0.9911
    29 |       0.9955
    30 |       0.9955
    31 |       0.9940
    32 |       0.9955
    33 |       0.9970
    34 |       0.9940
    35 |       0.9940
    36 |       0.9970
    37 |       0.9970
    38 |       0.9970
    39 |       0.9970
    40 |       0.9911
    41 |       0.9940
    42 |       0.9970
    43 |       0.9970
    44 |       0.9925
    45 |       0.9955
    46 |       0.9762
    47 |       0.9985
    48 |       0.9940
    49 |       0.9955
    50 |       0.9970
    51 |       0.9970
    52 |       0.9970
    53 |       0.9970
    54 |       0.9970
    55 |       0.9985
    56 |       0.9970
    57 |       0.9955
    58 |       0.9970
    59 |       0.9970
    60 |       0.9940
    61 |       0.9970
    62 |       0.9970
    63 |       0.9970
    64 |       0.9970
    65 |       0.9985
    66 |       0.9970
    67 |       0.9955
    68 |       0.9955
    69 |       0.9970
    70 |       0.9732
    71 |       0.9970
    72 |       0.9970
    73 |       0.9970
    74 |       0.9970
    75 |       0.9970
    76 |       0.9940
    77 |       0.9970
    78 |       0.9970
    79 |       0.9955
    80 |       0.9732
    81 |       0.9970
    82 |       0.9970
    83 |       0.9970
    84 |       0.9985
    85 |       0.9970
    86 |       0.9970
    87 |       0.9970
    88 |       0.9970
    89 |       0.9970
    90 |       0.9955
    91 |       0.9970
    92 |       0.9970
    93 |       0.9940
    94 |       0.9851
    95 |       0.9970
    96 |       0.9970
    97 |       0.9955
    98 |       0.9970
    99 |       0.9940
   100 |       0.9821

Training with batch size: 4
------------------------------

Epoch-by-epoch accuracy:
 Epoch |     Accuracy
-------------------------
     1 |       0.9523
     2 |       0.9791
     3 |       0.9955
     4 |       0.9866
     5 |       0.9896
     6 |       0.9955
     7 |       0.9955
     8 |       0.9955
     9 |       0.9955
    10 |       0.9970
    11 |       0.9970
    12 |       0.9955
    13 |       0.9896
    14 |       0.9836
    15 |       0.9970
